"","pais","CountryCode","indicador","year","m3"
"2","Africa Eastern and Southern","AFE","Renewable internal freshwater resources per capita (cubic meters)","2018",3087.622821
"3","Afghanistan","AFG","Renewable internal freshwater resources per capita (cubic meters)","2018",1268.430511
"4","Africa Western and Central","AFW","Renewable internal freshwater resources per capita (cubic meters)","2018",4361.929784
"5","Angola","AGO","Renewable internal freshwater resources per capita (cubic meters)","2018",4803.668393
"6","Albania","ALB","Renewable internal freshwater resources per capita (cubic meters)","2018",9384.672492
"7","Andorra","AND","Renewable internal freshwater resources per capita (cubic meters)","2018",4098.275504
"8","Arab World","ARB","Renewable internal freshwater resources per capita (cubic meters)","2018",268.613709
"9","United Arab Emirates","ARE","Renewable internal freshwater resources per capita (cubic meters)","2018",15.57476166
"10","Argentina","ARG","Renewable internal freshwater resources per capita (cubic meters)","2018",6562.608567
"11","Armenia","ARM","Renewable internal freshwater resources per capita (cubic meters)","2018",2323.713361
"13","Antigua and Barbuda","ATG","Renewable internal freshwater resources per capita (cubic meters)","2018",540.0801811
"14","Australia","AUS","Renewable internal freshwater resources per capita (cubic meters)","2018",19693.63745
"15","Austria","AUT","Renewable internal freshwater resources per capita (cubic meters)","2018",6221.352791
"16","Azerbaijan","AZE","Renewable internal freshwater resources per capita (cubic meters)","2018",816.4171991
"17","Burundi","BDI","Renewable internal freshwater resources per capita (cubic meters)","2018",900.1931836
"18","Belgium","BEL","Renewable internal freshwater resources per capita (cubic meters)","2018",1050.139432
"19","Benin","BEN","Renewable internal freshwater resources per capita (cubic meters)","2018",896.8192086
"20","Burkina Faso","BFA","Renewable internal freshwater resources per capita (cubic meters)","2018",632.8644162
"21","Bangladesh","BGD","Renewable internal freshwater resources per capita (cubic meters)","2018",650.6514977
"22","Bulgaria","BGR","Renewable internal freshwater resources per capita (cubic meters)","2018",2989.308099
"23","Bahrain","BHR","Renewable internal freshwater resources per capita (cubic meters)","2018",2.548679784
"24","Bahamas, The","BHS","Renewable internal freshwater resources per capita (cubic meters)","2018",1815.187937
"25","Bosnia and Herzegovina","BIH","Renewable internal freshwater resources per capita (cubic meters)","2018",10680.13186
"26","Belarus","BLR","Renewable internal freshwater resources per capita (cubic meters)","2018",3602.158541
"27","Belize","BLZ","Renewable internal freshwater resources per capita (cubic meters)","2018",39835.9573
"29","Bolivia","BOL","Renewable internal freshwater resources per capita (cubic meters)","2018",26732.69245
"30","Brazil","BRA","Renewable internal freshwater resources per capita (cubic meters)","2018",27025.43742
"31","Barbados","BRB","Renewable internal freshwater resources per capita (cubic meters)","2018",279.0957298
"32","Brunei Darussalam","BRN","Renewable internal freshwater resources per capita (cubic meters)","2018",19815.3674
"33","Bhutan","BTN","Renewable internal freshwater resources per capita (cubic meters)","2018",103393.9735
"34","Botswana","BWA","Renewable internal freshwater resources per capita (cubic meters)","2018",1064.742086
"35","Central African Republic","CAF","Renewable internal freshwater resources per capita (cubic meters)","2018",30216.17423
"36","Canada","CAN","Renewable internal freshwater resources per capita (cubic meters)","2018",76891.77232
"37","Central Europe and the Baltics","CEB","Renewable internal freshwater resources per capita (cubic meters)","2018",2440.15779
"38","Switzerland","CHE","Renewable internal freshwater resources per capita (cubic meters)","2018",4744.94232
"40","Chile","CHL","Renewable internal freshwater resources per capita (cubic meters)","2018",47252.50446
"41","China","CHN","Renewable internal freshwater resources per capita (cubic meters)","2018",2005.261057
"42","Cote d'Ivoire","CIV","Renewable internal freshwater resources per capita (cubic meters)","2018",3065.112581
"43","Cameroon","CMR","Renewable internal freshwater resources per capita (cubic meters)","2018",10826.34733
"44","Congo, Dem. Rep.","COD","Renewable internal freshwater resources per capita (cubic meters)","2018",10705.60754
"45","Congo, Rep.","COG","Renewable internal freshwater resources per capita (cubic meters)","2018",42331.16586
"46","Colombia","COL","Renewable internal freshwater resources per capita (cubic meters)","2018",43192.7988
"47","Comoros","COM","Renewable internal freshwater resources per capita (cubic meters)","2018",1441.749707
"48","Cabo Verde","CPV","Renewable internal freshwater resources per capita (cubic meters)","2018",551.709933
"49","Costa Rica","CRI","Renewable internal freshwater resources per capita (cubic meters)","2018",22602.51792
"50","Caribbean small states","CSS","Renewable internal freshwater resources per capita (cubic meters)","2018",50493.62482
"51","Cuba","CUB","Renewable internal freshwater resources per capita (cubic meters)","2018",3362.101705
"54","Cyprus","CYP","Renewable internal freshwater resources per capita (cubic meters)","2018",655.8689338
"55","Czech Republic","CZE","Renewable internal freshwater resources per capita (cubic meters)","2018",1237.07329
"56","Germany","DEU","Renewable internal freshwater resources per capita (cubic meters)","2018",1290.621684
"57","Djibouti","DJI","Renewable internal freshwater resources per capita (cubic meters)","2018",312.8509797
"58","Dominica","DMA","Renewable internal freshwater resources per capita (cubic meters)","2018",2792.282132
"59","Denmark","DNK","Renewable internal freshwater resources per capita (cubic meters)","2018",1035.619083
"60","Dominican Republic","DOM","Renewable internal freshwater resources per capita (cubic meters)","2018",2211.317864
"61","Algeria","DZA","Renewable internal freshwater resources per capita (cubic meters)","2018",266.3372518
"62","East Asia & Pacific (excluding high income)","EAP","Renewable internal freshwater resources per capita (cubic meters)","2018",4200.134389
"63","Early-demographic dividend","EAR","Renewable internal freshwater resources per capita (cubic meters)","2018",3719.964249
"64","East Asia & Pacific","EAS","Renewable internal freshwater resources per capita (cubic meters)","2018",4383.45694
"65","Europe & Central Asia (excluding high income)","ECA","Renewable internal freshwater resources per capita (cubic meters)","2018",12644.76715
"66","Europe & Central Asia","ECS","Renewable internal freshwater resources per capita (cubic meters)","2018",7726.866459
"67","Ecuador","ECU","Renewable internal freshwater resources per capita (cubic meters)","2018",25895.03065
"68","Egypt, Arab Rep.","EGY","Renewable internal freshwater resources per capita (cubic meters)","2018",10.16016463
"69","Euro area","EMU","Renewable internal freshwater resources per capita (cubic meters)","2018",2950.21038
"70","Eritrea","ERI","Renewable internal freshwater resources per capita (cubic meters)","2018",810.9367565
"71","Spain","ESP","Renewable internal freshwater resources per capita (cubic meters)","2018",2376.182413
"72","Estonia","EST","Renewable internal freshwater resources per capita (cubic meters)","2018",9614.388147
"73","Ethiopia","ETH","Renewable internal freshwater resources per capita (cubic meters)","2018",1116.966436
"74","European Union","EUU","Renewable internal freshwater resources per capita (cubic meters)","2018",3042.502839
"75","Fragile and conflict affected situations","FCS","Renewable internal freshwater resources per capita (cubic meters)","2018",5420.113831
"76","Finland","FIN","Renewable internal freshwater resources per capita (cubic meters)","2018",19399.78515
"77","Fiji","FJI","Renewable internal freshwater resources per capita (cubic meters)","2018",32315.02337
"78","France","FRA","Renewable internal freshwater resources per capita (cubic meters)","2018",2980.540202
"81","Gabon","GAB","Renewable internal freshwater resources per capita (cubic meters)","2018",77384.95476
"82","United Kingdom","GBR","Renewable internal freshwater resources per capita (cubic meters)","2018",2181.752174
"83","Georgia","GEO","Renewable internal freshwater resources per capita (cubic meters)","2018",15598.8825
"84","Ghana","GHA","Renewable internal freshwater resources per capita (cubic meters)","2018",1017.902041
"86","Guinea","GIN","Renewable internal freshwater resources per capita (cubic meters)","2018",18204.82392
"87","Gambia, The","GMB","Renewable internal freshwater resources per capita (cubic meters)","2018",1315.736383
"88","Guinea-Bissau","GNB","Renewable internal freshwater resources per capita (cubic meters)","2018",8536.502083
"89","Equatorial Guinea","GNQ","Renewable internal freshwater resources per capita (cubic meters)","2018",19863.00637
"90","Greece","GRC","Renewable internal freshwater resources per capita (cubic meters)","2018",5403.953943
"91","Grenada","GRD","Renewable internal freshwater resources per capita (cubic meters)","2018",1794.542795
"93","Guatemala","GTM","Renewable internal freshwater resources per capita (cubic meters)","2018",6680.145226
"95","Guyana","GUY","Renewable internal freshwater resources per capita (cubic meters)","2018",309368.2085
"96","High income","HIC","Renewable internal freshwater resources per capita (cubic meters)","2018",8525.41561
"98","Honduras","HND","Renewable internal freshwater resources per capita (cubic meters)","2018",9456.039897
"99","Heavily indebted poor countries (HIPC)","HPC","Renewable internal freshwater resources per capita (cubic meters)","2018",5194.65269
"100","Croatia","HRV","Renewable internal freshwater resources per capita (cubic meters)","2018",9222.467693
"101","Haiti","HTI","Renewable internal freshwater resources per capita (cubic meters)","2018",1169.359526
"102","Hungary","HUN","Renewable internal freshwater resources per capita (cubic meters)","2018",613.775328
"103","IBRD only","IBD","Renewable internal freshwater resources per capita (cubic meters)","2018",5628.143557
"104","IDA & IBRD total","IBT","Renewable internal freshwater resources per capita (cubic meters)","2018",5259.815425
"105","IDA total","IDA","Renewable internal freshwater resources per capita (cubic meters)","2018",4178.968268
"106","IDA blend","IDB","Renewable internal freshwater resources per capita (cubic meters)","2018",3021.455076
"107","Indonesia","IDN","Renewable internal freshwater resources per capita (cubic meters)","2018",7541.7337
"108","IDA only","IDX","Renewable internal freshwater resources per capita (cubic meters)","2018",4766.398782
"110","India","IND","Renewable internal freshwater resources per capita (cubic meters)","2018",1069.018778
"112","Ireland","IRL","Renewable internal freshwater resources per capita (cubic meters)","2018",10067.14994
"113","Iran, Islamic Rep.","IRN","Renewable internal freshwater resources per capita (cubic meters)","2018",1570.900728
"114","Iraq","IRQ","Renewable internal freshwater resources per capita (cubic meters)","2018",915.8651892
"115","Iceland","ISL","Renewable internal freshwater resources per capita (cubic meters)","2018",481967.334
"116","Israel","ISR","Renewable internal freshwater resources per capita (cubic meters)","2018",84.43283649
"117","Italy","ITA","Renewable internal freshwater resources per capita (cubic meters)","2018",3020.435022
"118","Jamaica","JAM","Renewable internal freshwater resources per capita (cubic meters)","2018",3687.748586
"119","Jordan","JOR","Renewable internal freshwater resources per capita (cubic meters)","2018",68.43732696
"120","Japan","JPN","Renewable internal freshwater resources per capita (cubic meters)","2018",3390.873032
"121","Kazakhstan","KAZ","Renewable internal freshwater resources per capita (cubic meters)","2018",3520.924083
"122","Kenya","KEN","Renewable internal freshwater resources per capita (cubic meters)","2018",402.7819586
"123","Kyrgyz Republic","KGZ","Renewable internal freshwater resources per capita (cubic meters)","2018",7738.660087
"124","Cambodia","KHM","Renewable internal freshwater resources per capita (cubic meters)","2018",7421.632088
"126","St. Kitts and Nevis","KNA","Renewable internal freshwater resources per capita (cubic meters)","2018",457.6833594
"127","Korea, Rep.","KOR","Renewable internal freshwater resources per capita (cubic meters)","2018",1257.146982
"128","Kuwait","KWT","Renewable internal freshwater resources per capita (cubic meters)","2018",0
"129","Latin America & Caribbean (excluding high income)","LAC","Renewable internal freshwater resources per capita (cubic meters)","2018",20607.68654
"130","Lao PDR","LAO","Renewable internal freshwater resources per capita (cubic meters)","2018",26963.11746
"131","Lebanon","LBN","Renewable internal freshwater resources per capita (cubic meters)","2018",699.768843
"132","Liberia","LBR","Renewable internal freshwater resources per capita (cubic meters)","2018",41502.59308
"133","Libya","LBY","Renewable internal freshwater resources per capita (cubic meters)","2018",104.8129351
"134","St. Lucia","LCA","Renewable internal freshwater resources per capita (cubic meters)","2018",1649.348507
"135","Latin America & Caribbean","LCN","Renewable internal freshwater resources per capita (cubic meters)","2018",21671.61414
"136","Least developed countries: UN classification","LDC","Renewable internal freshwater resources per capita (cubic meters)","2018",4546.9264
"137","Low income","LIC","Renewable internal freshwater resources per capita (cubic meters)","2018",4047.627242
"139","Sri Lanka","LKA","Renewable internal freshwater resources per capita (cubic meters)","2018",2436.548223
"140","Lower middle income","LMC","Renewable internal freshwater resources per capita (cubic meters)","2018",2813.326204
"141","Low & middle income","LMY","Renewable internal freshwater resources per capita (cubic meters)","2018",5015.978731
"142","Lesotho","LSO","Renewable internal freshwater resources per capita (cubic meters)","2018",2480.639863
"143","Late-demographic dividend","LTE","Renewable internal freshwater resources per capita (cubic meters)","2018",7956.357149
"144","Lithuania","LTU","Renewable internal freshwater resources per capita (cubic meters)","2018",5518.387546
"145","Luxembourg","LUX","Renewable internal freshwater resources per capita (cubic meters)","2018",1644.872111
"146","Latvia","LVA","Renewable internal freshwater resources per capita (cubic meters)","2018",8790.072925
"149","Morocco","MAR","Renewable internal freshwater resources per capita (cubic meters)","2018",804.9051698
"151","Moldova","MDA","Renewable internal freshwater resources per capita (cubic meters)","2018",598.1802029
"152","Madagascar","MDG","Renewable internal freshwater resources per capita (cubic meters)","2018",12832.07614
"153","Maldives","MDV","Renewable internal freshwater resources per capita (cubic meters)","2018",58.17290539
"154","Middle East & North Africa","MEA","Renewable internal freshwater resources per capita (cubic meters)","2018",513.3446055
"155","Mexico","MEX","Renewable internal freshwater resources per capita (cubic meters)","2018",3241.124221
"157","Middle income","MIC","Renewable internal freshwater resources per capita (cubic meters)","2018",5126.2968
"158","North Macedonia","MKD","Renewable internal freshwater resources per capita (cubic meters)","2018",2600.884204
"159","Mali","MLI","Renewable internal freshwater resources per capita (cubic meters)","2018",3145.024139
"160","Malta","MLT","Renewable internal freshwater resources per capita (cubic meters)","2018",104.2032066
"161","Myanmar","MMR","Renewable internal freshwater resources per capita (cubic meters)","2018",18671.22333
"162","Middle East & North Africa (excluding high income)","MNA","Renewable internal freshwater resources per capita (cubic meters)","2018",589.2804679
"164","Mongolia","MNG","Renewable internal freshwater resources per capita (cubic meters)","2018",10977.17694
"166","Mozambique","MOZ","Renewable internal freshwater resources per capita (cubic meters)","2018",3400.460042
"167","Mauritania","MRT","Renewable internal freshwater resources per capita (cubic meters)","2018",90.84071263
"168","Mauritius","MUS","Renewable internal freshwater resources per capita (cubic meters)","2018",2174.182785
"169","Malawi","MWI","Renewable internal freshwater resources per capita (cubic meters)","2018",889.5887526
"170","Malaysia","MYS","Renewable internal freshwater resources per capita (cubic meters)","2018",18396.32685
"171","North America","NAC","Renewable internal freshwater resources per capita (cubic meters)","2018",15575.56709
"172","Namibia","NAM","Renewable internal freshwater resources per capita (cubic meters)","2018",2516.031532
"174","Niger","NER","Renewable internal freshwater resources per capita (cubic meters)","2018",155.9518048
"175","Nigeria","NGA","Renewable internal freshwater resources per capita (cubic meters)","2018",1128.272395
"176","Nicaragua","NIC","Renewable internal freshwater resources per capita (cubic meters)","2018",24160.53695
"177","Netherlands","NLD","Renewable internal freshwater resources per capita (cubic meters)","2018",638.3611899
"178","Norway","NOR","Renewable internal freshwater resources per capita (cubic meters)","2018",71913.78779
"179","Nepal","NPL","Renewable internal freshwater resources per capita (cubic meters)","2018",7054.457278
"180","Nauru","NRU","Renewable internal freshwater resources per capita (cubic meters)","2018",936.5049635
"181","New Zealand","NZL","Renewable internal freshwater resources per capita (cubic meters)","2018",66726.52328
"182","OECD members","OED","Renewable internal freshwater resources per capita (cubic meters)","2018",9391.902491
"183","Oman","OMN","Renewable internal freshwater resources per capita (cubic meters)","2018",289.8865219
"184","Other small states","OSS","Renewable internal freshwater resources per capita (cubic meters)","2018",17012.51906
"185","Pakistan","PAK","Renewable internal freshwater resources per capita (cubic meters)","2018",259.1548964
"186","Panama","PAN","Renewable internal freshwater resources per capita (cubic meters)","2018",32703.93031
"187","Peru","PER","Renewable internal freshwater resources per capita (cubic meters)","2018",51298.45903
"188","Philippines","PHL","Renewable internal freshwater resources per capita (cubic meters)","2018",4491.268065
"190","Papua New Guinea","PNG","Renewable internal freshwater resources per capita (cubic meters)","2018",93071.09516
"191","Poland","POL","Renewable internal freshwater resources per capita (cubic meters)","2018",1411.464197
"192","Pre-demographic dividend","PRE","Renewable internal freshwater resources per capita (cubic meters)","2018",3882.395744
"193","Puerto Rico","PRI","Renewable internal freshwater resources per capita (cubic meters)","2018",2223.367657
"194","Korea, Dem. People's Rep.","PRK","Renewable internal freshwater resources per capita (cubic meters)","2018",2622.349636
"195","Portugal","PRT","Renewable internal freshwater resources per capita (cubic meters)","2018",3695.124245
"196","Paraguay","PRY","Renewable internal freshwater resources per capita (cubic meters)","2018",16819.84466
"197","West Bank and Gaza","PSE","Renewable internal freshwater resources per capita (cubic meters)","2018",177.7160295
"198","Pacific island small states","PSS","Renewable internal freshwater resources per capita (cubic meters)","2018",45257.40352
"199","Post-demographic dividend","PST","Renewable internal freshwater resources per capita (cubic meters)","2018",8062.624598
"201","Qatar","QAT","Renewable internal freshwater resources per capita (cubic meters)","2018",20.13170449
"202","Romania","ROU","Renewable internal freshwater resources per capita (cubic meters)","2018",2176.238333
"203","Russian Federation","RUS","Renewable internal freshwater resources per capita (cubic meters)","2018",29845.40351
"204","Rwanda","RWA","Renewable internal freshwater resources per capita (cubic meters)","2018",772.2341033
"205","South Asia","SAS","Renewable internal freshwater resources per capita (cubic meters)","2018",1092.438214
"206","Saudi Arabia","SAU","Renewable internal freshwater resources per capita (cubic meters)","2018",71.21079145
"207","Sudan","SDN","Renewable internal freshwater resources per capita (cubic meters)","2018",95.69027279
"208","Senegal","SEN","Renewable internal freshwater resources per capita (cubic meters)","2018",1627.316308
"209","Singapore","SGP","Renewable internal freshwater resources per capita (cubic meters)","2018",106.4079582
"210","Solomon Islands","SLB","Renewable internal freshwater resources per capita (cubic meters)","2018",68468.39119
"211","Sierra Leone","SLE","Renewable internal freshwater resources per capita (cubic meters)","2018",20914.62532
"212","El Salvador","SLV","Renewable internal freshwater resources per capita (cubic meters)","2018",2434.29885
"214","Somalia","SOM","Renewable internal freshwater resources per capita (cubic meters)","2018",399.7807869
"215","Serbia","SRB","Renewable internal freshwater resources per capita (cubic meters)","2018",1203.992092
"216","Sub-Saharan Africa (excluding high income)","SSA","Renewable internal freshwater resources per capita (cubic meters)","2018",3602.002462
"217","South Sudan","SSD","Renewable internal freshwater resources per capita (cubic meters)","2018",2368.821067
"218","Sub-Saharan Africa","SSF","Renewable internal freshwater resources per capita (cubic meters)","2018",3602.002462
"219","Small states","SST","Renewable internal freshwater resources per capita (cubic meters)","2018",24622.1885
"220","Sao Tome and Principe","STP","Renewable internal freshwater resources per capita (cubic meters)","2018",10330.18689
"221","Suriname","SUR","Renewable internal freshwater resources per capita (cubic meters)","2018",171878.8792
"222","Slovak Republic","SVK","Renewable internal freshwater resources per capita (cubic meters)","2018",2313.297181
"223","Slovenia","SVN","Renewable internal freshwater resources per capita (cubic meters)","2018",9002.388743
"224","Sweden","SWE","Renewable internal freshwater resources per capita (cubic meters)","2018",16805.54335
"225","Eswatini","SWZ","Renewable internal freshwater resources per capita (cubic meters)","2018",2323.383268
"228","Syrian Arab Republic","SYR","Renewable internal freshwater resources per capita (cubic meters)","2018",420.8895783
"230","Chad","TCD","Renewable internal freshwater resources per capita (cubic meters)","2018",969.1345506
"231","East Asia & Pacific (IDA & IBRD countries)","TEA","Renewable internal freshwater resources per capita (cubic meters)","2018",4219.634346
"232","Europe & Central Asia (IDA & IBRD countries)","TEC","Renewable internal freshwater resources per capita (cubic meters)","2018",11233.1515
"233","Togo","TGO","Renewable internal freshwater resources per capita (cubic meters)","2018",1457.708394
"234","Thailand","THA","Renewable internal freshwater resources per capita (cubic meters)","2018",3233.688597
"235","Tajikistan","TJK","Renewable internal freshwater resources per capita (cubic meters)","2018",6972.97735
"236","Turkmenistan","TKM","Renewable internal freshwater resources per capita (cubic meters)","2018",240.1339144
"237","Latin America & the Caribbean (IDA & IBRD countries)","TLA","Renewable internal freshwater resources per capita (cubic meters)","2018",22125.41791
"238","Timor-Leste","TLS","Renewable internal freshwater resources per capita (cubic meters)","2018",6478.834362
"239","Middle East & North Africa (IDA & IBRD countries)","TMN","Renewable internal freshwater resources per capita (cubic meters)","2018",594.2501902
"241","South Asia (IDA & IBRD)","TSA","Renewable internal freshwater resources per capita (cubic meters)","2018",1092.438214
"242","Sub-Saharan Africa (IDA & IBRD countries)","TSS","Renewable internal freshwater resources per capita (cubic meters)","2018",3602.002462
"243","Trinidad and Tobago","TTO","Renewable internal freshwater resources per capita (cubic meters)","2018",2762.905973
"244","Tunisia","TUN","Renewable internal freshwater resources per capita (cubic meters)","2018",362.7260153
"245","Turkiye","TUR","Renewable internal freshwater resources per capita (cubic meters)","2018",2756.858779
